species,count
믹스,823
코리안숏헤어,364
푸들,154
말티즈,153
진도,132
포메라이언,81
리트리버,64
시츄,57
시바,48
웰시코기,31
치와와,31
비숑프리제,30
스피츠,26
허스키,19
페르시안,18
도사,18
요크셔테리어,17
프렌치불독,17
닭,17
토끼,16
러시안블루,13
닥스훈트,13
슈나우져,10
진도 믹스,10
고슴도치,10
풍산,10
페르시안 믹스,8
앙고라,8
보더콜리,7
라이카,7
샴,7
미니핀,6
스코티쉬폴드,6
말티즈 믹스,6
햄스터,6
코카스파니엘,6
리트리버 믹스,5
염소,5
랙돌,5
이탈리안그레이하운드,5
퍼그,5
비글,5
삽살개,5
보스턴테리어,4
기러기,4
사모예드,4
불독,3
포메라이언 믹스,3
치와와 믹스,3
울프독,3
아메리칸숏헤어 믹스,3
왕관앵무,3
아이리시 세터,2
차우차우,2
스코티쉬폴드 믹스,2
코카스파니엘 믹스,2
세퍼드,2
포인터,2
스코티쉬스트레이트,2
아메리칸숏헤어,2
스탠다드푸들,2
청계,2
셔틀랜드쉽독,2
랙돌 믹스,2
뱅갈,2
아메리칸불리,2
오브차카,2
사랑앵무,2
스피츠 믹스,2
잉글리쉬세터,2
푸들 믹스,1
먼치킨,1
코리안숏헤어 믹스,1
보더콜리 믹스,1
먼치킨 믹스,1
엑죠틱숏헤어,1
기니피그,1
스핑크스,1
그린칙코뉴어앵무,1
페터데일테일러,1
막스,1
프레리도그,1
슈나우져 믹스,1
불독 믹스,1
닥스훈트 믹스,1
비숑프리제 믹스,1
사모예드 믹스,1
말라뮤트,1
잭러셀테리어,1
슈가글라이더,1
브룩스킹스네이크,1
앵무새,1
저빌,1
아메리칸컬 믹스,1
브리티쉬숏헤어,1
도고아르헨티노,1
케인크로소,1
케니스펜더,1
도베르만,1
그레이트덴,1
페키니즈,1
시바 믹스,1
말라,1
베들링턴테리어,1
거위,1
황금계,1
복서,1
동경견,1
킹찰스스파니엘,1
오리,1
스핑크스 믹스,1
미니어쳐슈나우저,1
노르웨이숲 믹스,1
