index,adoptionStatusCd,age,animalSeq,classification,fileNm,filePath,foundPlace,gender,gu,hairColor,hitCnt,memo,modDtTm,regDtTm,regId,rescueDate,species,weight
0,1,2년령(추정),43425,1,23-5-146.jpg,202308/20230805032636376.jpg,대덕구 석봉동 191-43번지 주변,1,5,백색,59,*동물등록입소개체* 칩존재 & 신고자용품구입 & 야윔 & 치아깨끗 & 온순 & 슬개골탈구 & 홍역음성(8/5) & 파보음성(8/5) & 코로나음성(8/5),2023-08-05,2023-08-05,23-5-146,2023-08-05,프렌치불독,9kg
1,1,3년령(추정),43424,1,23-1-238.jpg,202308/20230805120531374.jpg,가양동 25-15 인근,2,1,백색,90,가위컷흔적 & 좌측후지슬개골탈구 & 치아깨끗 & 온순 & 마름 & 미용흔적 & 홍역음성(8/5) & 파보음성(8/5) & 코로나음성(8/5),2023-08-05,2023-08-05,23-1-238,2023-08-04,말티즈,3kg
2,1,2년령(추정),43423,2,23-3-249.jpg,202308/20230805120430917.jpg,둔산동 매그놀리아 인근,4,3,회백색,83,2마리동시구조 & 비만 & 온순 & 호흡거침 & 파보음성(8/5),2023-08-05,2023-08-05,23-3-249,2023-08-05,랙돌 믹스,7.62kg
3,1,2년령(추정),43422,2,23-3-248.jpg,202308/20230805120409539.jpg,둔산동 매그놀리아 인근,2,3,황백색,94,2마리동시구조 & 우측안구눈곱 & 순함 & 파보음성(8/5),2023-08-05,2023-08-05,23-3-248,2023-08-05,먼치킨,3.48kg
4,1,4개월령(추정),43421,1,23-2-207.jpg,202308/20230805115921810.jpg,산성동 문성초 주변,2,2,흑황백색,68,좌측눈위상처 & 유치잔존 & 온순 & 홍역음성(8/5) & 파보음성(8/5) & 코로나음성(8/5),2023-08-05,2023-08-05,23-2-207,2023-08-04,믹스,6kg
5,1,2주령(추정),43420,2,23-4-228.jpg,202308/20230805115844209.jpg,산성동 산성지구대 주변,1,4,흑백색,64,박스채발견 & 접종일령미달 & 파보음성(8/5),2023-08-05,2023-08-05,23-4-228,2023-08-05,코리안숏헤어,0.24kg
6,1,1년령(추정),43419,3,23-5-145.jpg,202308/20230804032540394.jpg,목상동 대덕문화체육관 주변,1,5,회백색,67,2마리동시구조,2023-08-04,2023-08-04,23-5-145,2023-08-04,토끼,1.35kg
7,1,1년령(추정),43418,3,23-5-144.jpg,202308/20230804032527987.jpg,목상동 대덕문화체육관 주변,1,5,흑황색,53,2마리동시구조 & 좌측귀밑 & 발목탈모 & 진드기,2023-08-04,2023-08-04,23-5-144,2023-08-04,토끼,1.86kg
8,5,10개월령(추정),43417,2,23-1-237.jpg,202308/20230804032450836.jpg,대청동 행정복지센터 인근,5,1,황백색,2,교통사고,2023-08-04,2023-08-04,23-1-237,2023-08-04,코리안숏헤어,2.7kg(추정)
9,7,4년령(추정),43416,1,23-3-247.jpg,202308/20230804032416951.jpg,변동 254-227 인근,1,3,황색,2,현장반환,2023-08-04,2023-08-04,23-3-247,2023-08-03,진도,17kg(추정)
10,7,7년령(추정),43415,1,23-2-206.jpg,202308/20230804015801883.jpg,산성동 299-26번지 주변,1,2,백색,22,*동물등록입소개체*칩존재 & 신고자희망 & 홍역음성(8/4) & 파보음성(8/4) & 코로나음성(8/4),2023-08-04,2023-08-04,23-2-206,2023-08-04,믹스,3.38kg
11,1,3년령(추정),43414,1,23-2-205.jpg,202308/20230804015727865.jpg,선화동 383-2 학우사 주변,2,2,흑백색,155,온순 & 치아깨끗 & 상태양호 & 홍역음성(8/4) & 파보음성(8/4) & 코로나음성(8/4),2023-08-04,2023-08-04,23-2-205,2023-08-04,허스키,21kg
12,1,3년령(추정),43413,1,23-1-236.jpg,202308/20230803110339982.jpg,성남동 제자들교회 인근,2,1,황백색,115,목줄착용 & 앞양발발목외전 & 온순 & 홍역음성(8/3) & 파보음성(8/3) & 코로나음성(8/3),2023-08-03,2023-08-03,23-1-236,2023-08-03,믹스,3.5kg
13,7,4년령(추정),43412,1,23-1-235.jpg,202308/20230803110305253.jpg,성남동 gng빌딩 인근,1,1,흑색,48,*동물등록입소개체*칩존재 & 가슴줄착용 & 홍역음성(8/3) & 파보음성(8/3) & 코로나음성(8/3),2023-08-03,2023-08-03,23-1-235,2023-08-03,믹스,7.9kg
14,1,1년령(추정),43411,3,23-1-234.jpg,202308/20230803110219119.jpg,한밭대로1254번길 66 인근,2,1,황백색,112,용품채발견 & 복부염증,2023-08-03,2023-08-03,23-1-234,2023-08-03,햄스터,0.065kg
15,1,6개월령(추정),43410,1,23-2-204.jpg,202308/20230802042711405.jpg,문창로38번길 20 주변,1,2,황색,155,치아깨끗 & 예민 & 상태양호 & 홍역음성(8/2) & 파보음성(8/2) 코로나음성(8/2),2023-08-02,2023-08-02,23-2-204,2023-08-02,믹스,11.8kg
16,5,4개월령(추정),43409,2,23-1-233.jpg,202308/20230802025552480.jpg,판암역사거리 인근,5,1,흑색,2,교통사고 & 폐사체인계,2023-08-02,2023-08-02,23-1-233,2023-08-02,코리안숏헤어,1kg(추정)
17,1,3년령(추정),43408,1,23-5-143.jpg,202308/20230802011845522.jpg,대청로424번길 554 주변,1,5,흑백색,161,목줄 및 리드줄 착용 & 상태양호 & 홍역음성(8/2) & 파보음성(8/2) & 코로나음성(8/2),2023-08-02,2023-08-02,23-5-143,2023-08-02,믹스,5.8kg
18,1,3년령(추정),43407,1,23-2-203.jpg,202308/20230802085210155.jpg,태평동 삼부@ 4단지 주변,2,2,흑백색,210,온순 & 콧등까짐 & 상태양호 & 홍역음성(8/2) & 파보음성(8/2) 코로나음성(8/2),2023-08-02,2023-08-02,23-2-203,2023-08-01,믹스,13.3kg
19,1,2년령(추정),43406,2,23-3-246.jpg,202308/20230801011227487.jpg,가장동 래미안@ 인근,1,3,흑색,539,목줄착용 & 온순 & 파보음성(8/1),2023-08-01,2023-08-01,23-3-246,2023-08-01,코리안숏헤어,5kg
20,1,2년령(추정),43405,1,23-4-227.jpg,202308/20230801100854940.jpg,방동 74번지,1,4,흑황색,406,반도착용 & 온순 & 홍역음성(8/1) & 파보음성(8/1) & 코로나음성(8/1),2023-08-01,2023-08-01,23-4-227,2023-07-31,닥스훈트,5.8kg
21,1,3년령(추정),43404,1,23-5-142.jpg,202308/20230801100959822.jpg,법동 유원아파트 4동 주변,2,5,황백색,372,신고자입양희망 & 미용 & 온순 & 홍역음성(8/1) & 파보음성(8/1) & 코로나음성(8/1),2023-08-01,2023-08-01,23-5-142,2023-07-31,포메라이언,2.8kg
22,7,1년령(추정),43403,1,23-1-231.jpg,202307/20230731024252575.jpg,매봉로22번길 30 인근,1,1,흑황색,2,칩존재 & 현장반환,2023-07-31,2023-07-31,23-1-231,2023-07-30,믹스,5kg(추정)
23,1,2년령(추정),43402,1,23-3-245.jpg,202307/20230731023940905.jpg,도산로 169-1 인근,2,3,흑황백색,317,온순 & 홍역음성(8/1) & 파보음성(8/1) & 코로나음성(8/1),2023-08-01,2023-07-31,23-3-245,2023-07-31,믹스,5.5kg
24,1,3년령(추정),43401,1,23-1-232.jpg,202307/20230731023904707.jpg,충남중학교 인근,2,1,백색,523,미용 & 온순 & 치석 & 홍역음성(8/1) & 파보음성(8/1) & 코로나음성(8/1),2023-08-01,2023-07-31,23-1-232,2023-07-31,포메라이언,3.86kg
25,1,4년령(추정),43400,1,23-5-141.jpg,202307/20230731012410828.jpg,늘봄1길 27 주변,1,5,흑백색,304,눈곱심함 & 온순 & 홍역음성(8/1) & 파보음성(8/1) & 코로나음성(8/1),2023-08-01,2023-07-31,23-5-141,2023-07-31,불독,17.3kg
26,5,3년령(추정),43399,1,23-3-244.jpg,202307/20230731104340265.jpg,괴정동 45-13 인근,2,3,백색,3,기립불능 & 열사병추정,2023-07-31,2023-07-31,23-3-244,2023-07-30,믹스,4kg(추정)
27,5,4개월령(추정),43398,2,23-2-202.jpg,202307/20230730011207479.jpg,서대전지구대 주변,1,2,흑황색,4,교통사고 & 선비동물병원진료 & 폐사체인계,2023-07-30,2023-07-30,23-2-202,2023-07-29,코리안숏헤어,1kg(추정)
28,7,3년령(추정),43397,1,23-1-230.jpg,202307/20230730115720921.jpg,천동 주공@ 인근,1,1,백색,175,가슴줄착용,2023-07-31,2023-07-30,23-1-230,2023-07-29,비숑프리제,6kg(추정)
29,1,3년령(추정),43396,1,23-1-229.jpg,202307/20230730115648384.jpg,상소동 267 인근,2,1,백색,414,미용 & 진드기 발견 & 온순 & 치석 & 양측 슬개골 탈구 & 홍역음성(8/1) & 파보음성(8/1) & 코로나음성(8/1),2023-08-01,2023-07-30,23-1-229,2023-07-29,말티즈,2.8kg
30,1,3년령(추정),43395,1,23-5-140.jpg,202307/20230730101716263.jpg,송촌동 양지초 주변,2,5,흑황색,240,목줄착용 & 진드기 발견 & 치석 & 온순 & 홍역음성(8/1) & 파보음성(8/1) & 코로나음성(8/1),2023-08-01,2023-07-30,23-5-140,2023-07-29,믹스,6.2kg
31,1,10년령(추정),43394,1,23-3-243.jpg,202307/20230729045546414.jpg,둔산남로 188-1 인근,1,3,백색,576,유선종양 & 치석 & 안구백탁 & 홍역음성(7/29) & 파보음성(7/29) & 코로나음성(7/29),2023-07-29,2023-07-29,23-3-243,2023-07-28,말티즈,2.2kg
32,7,3년령(추정),43393,1,23-4-226.jpg,202307/20230729013826981.jpg,구암동 623-6 백송한우 주변,4,4,백색,97,제대허니아 & 양측체리아이 & 피부각질 & 외이염 & 홍역음성(7/29) & 파보음성(7/29) & 코로나음성(7/29),2023-07-30,2023-07-29,23-4-226,2023-07-29,말티즈,4.2kg
33,7,2022(년생),43392,1,,,중촌동 중촌파출소 주변,1,2,황백색,2,현장반환,2023-07-29,2023-07-29,23-2-201,2023-07-27,믹스,4.00(Kg)
34,7,2021(년생),43391,1,,,송촌동 선비마을4단지 주변,1,5,흑황색,2,현장반환,2023-07-29,2023-07-29,23-5-139,2023-07-27,믹스,4(Kg)
