species,count
믹스,995
코리안숏헤어,502
푸들,199
말티즈,197
진도,174
포메라이언,105
리트리버,76
시츄,65
시바,54
치와와,43
웰시코기,39
비숑프리제,38
스피츠,31
페르시안,31
요크셔테리어,25
토끼,25
허스키,22
햄스터,21
프렌치불독,20
도사,18
닭,18
닥스훈트,16
러시안블루,16
슈나우져,12
앙고라,11
랙돌,10
스코티쉬폴드,10
코카스파니엘,10
풍산,10
고슴도치,10
보더콜리,9
비글,9
보스턴테리어,8
라이카,8
샴,8
미니핀,8
사모예드,7
염소,5
퍼그,5
이탈리안그레이하운드,5
삽살개,5
아메리칸숏헤어,5
불독,5
기러기,4
먼치킨,4
스탠다드푸들,3
청계,3
페키니즈,3
포인터,3
셔틀랜드쉽독,3
말라뮤트,3
뱅갈,3
울프독,3
왕관앵무,3
도고아르헨티노,2
오브차카,2
아비시니안,2
잭러셀테리어,2
잉글리쉬세터,2
스핑크스,2
아이리시 세터,2
차우차우,2
아메리칸불리,2
세퍼드,2
스코티쉬스트레이트,2
사랑앵무,2
기니피그,1
치와와믹스,1
오리,1
프레리도그,1
프렌치북독,1
막스,1
브룩스킹스네이크,1
미니메추리,1
발리네즈,1
그린칙코뉴어앵무,1
저빌,1
앵무새,1
세퍼트,1
페터데일테일러,1
올드잉글리쉬 쉽독,1
슈가글라이더,1
엑죠틱숏헤어,1
동경견,1
메인쿤,1
불테리어,1
킹찰스스파니엘,1
친칠라,1
코리안숏 헤어,1
도베르만,1
케니스펜더,1
케인크로소,1
거위,1
보더콜린,1
아메리칸컬,1
브리티쉬숏헤어,1
그레이트덴,1
슈나우저,1
말라,1
베들링턴테리어,1
풍산개,1
황금계,1
복서,1
미니어쳐슈나우저,1
거북이,1
코리안쇼헤어,1
모란앵무,1
노르웨이숲,1
